camera_id,url_image,road,km,latitude,longitude
226,http://infocar.dgt.es/etraffic/data/camaras/226.jpg,MA-20,10.217,36.727,-4.45346
227,http://infocar.dgt.es/etraffic/data/camaras/227.jpg,A-7,1067.6,36.4329,-5.12429
228,http://infocar.dgt.es/etraffic/data/camaras/228.jpg,MA-20,10.73,36.7314,-4.45403
229,http://infocar.dgt.es/etraffic/data/camaras/229.jpg,A-7,984.35,36.746498,-4.44058
230,http://infocar.dgt.es/etraffic/data/camaras/230.jpg,A-45,142.4,36.7574,-4.42666
231,http://infocar.dgt.es/etraffic/data/camaras/231.jpg,A-7,982.6,36.7558,-4.4181
232,http://infocar.dgt.es/etraffic/data/camaras/232.jpg,A-7,981.7,36.7459,-4.40843
233,http://infocar.dgt.es/etraffic/data/camaras/233.jpg,A-7,980.6,36.7385,-4.3936
234,http://infocar.dgt.es/etraffic/data/camaras/234.jpg,A-7,979.6,36.732263,-4.375348
235,http://infocar.dgt.es/etraffic/data/camaras/235.jpg,A-7,978.6,36.7285,-4.36348
236,http://infocar.dgt.es/etraffic/data/camaras/236.jpg,A-7,1066.5,36.4353,-5.11228
237,http://infocar.dgt.es/etraffic/data/camaras/237.jpg,A-7,1065.9,36.4367,-5.10837
238,http://infocar.dgt.es/etraffic/data/camaras/238.jpg,A-7,1064.3,36.4456,-5.09535
239,http://infocar.dgt.es/etraffic/data/camaras/239.jpg,A-7,1061.2,36.4542,-5.06316
240,http://infocar.dgt.es/etraffic/data/camaras/240.jpg,A-7,1056.4,36.4688,-5.01448
241,http://infocar.dgt.es/etraffic/data/camaras/241.jpg,A-45,138.6,36.7884,-4.43203
242,http://infocar.dgt.es/etraffic/data/camaras/242.jpg,A-45,137.5,36.7975,-4.43452
243,http://infocar.dgt.es/etraffic/data/camaras/243.jpg,A-45,135.7,36.8123,-4.44106
244,http://infocar.dgt.es/etraffic/data/camaras/244.jpg,A-45,134.6,36.8163,-4.44849
245,http://infocar.dgt.es/etraffic/data/camaras/245.jpg,A-45,129.9,36.8542,-4.44347
246,http://infocar.dgt.es/etraffic/data/camaras/246.jpg,A-45,128.5,36.8652,-4.43576
247,http://infocar.dgt.es/etraffic/data/camaras/247.jpg,A-45,127.4,36.874,-4.43325
248,http://infocar.dgt.es/etraffic/data/camaras/248.jpg,A-45,126.4,36.8807,-4.42442
249,http://infocar.dgt.es/etraffic/data/camaras/249.jpg,A-45,125.2,36.8903,-4.42102
250,http://infocar.dgt.es/etraffic/data/camaras/250.jpg,A-45,123.6,36.8984,-4.43439
251,http://infocar.dgt.es/etraffic/data/camaras/251.jpg,A-45,121.5,36.9115,-4.44432
252,http://infocar.dgt.es/etraffic/data/camaras/252.jpg,A-45,118.2,36.938,-4.43908
253,http://infocar.dgt.es/etraffic/data/camaras/253.jpg,A-45,115.5,36.9606,-4.44685
254,http://infocar.dgt.es/etraffic/data/camaras/254.jpg,A-45,113.5,36.978,-4.44485
255,http://infocar.dgt.es/etraffic/data/camaras/255.jpg,A-45,111.6,36.9857,-4.46318
256,http://infocar.dgt.es/etraffic/data/camaras/256.jpg,A-45,107.5,37.0113,-4.49159
257,http://infocar.dgt.es/etraffic/data/camaras/257.jpg,A-45,104.0,37.0409,-4.4878
258,http://infocar.dgt.es/etraffic/data/camaras/258.jpg,A-45,98.5,37.0697,-4.53026
259,http://infocar.dgt.es/etraffic/data/camaras/259.jpg,A-92M,22.45,36.9755,-4.41504
260,http://infocar.dgt.es/etraffic/data/camaras/260.jpg,A-45,141.6,36.7657,-4.42326
261,http://infocar.dgt.es/etraffic/data/camaras/261.jpg,A-92M,13.7,37.0438,-4.38042
262,http://infocar.dgt.es/etraffic/data/camaras/262.jpg,A-92M,0.475,37.1278,-4.29172
263,http://infocar.dgt.es/etraffic/data/camaras/263.jpg,A-92M,3.67,37.1053,-4.31209
264,http://infocar.dgt.es/etraffic/data/camaras/264.jpg,A-92M,8.125,37.0683,-4.32736
265,http://infocar.dgt.es/etraffic/data/camaras/265.jpg,A-92M,19.0,37.001,-4.39781
