camera_id,name,url_image,road,km,location_info,latitude,longitude
65,Autonomía/Avda. Ferrocarril,https://www.bilbao.eus/camarastrafico/codec0065/snap_c1.jpg,,,Autonomía/Avda. Ferrocarril,43.257722437903354,-2.945921967775675
30,Av. Ferrocarril/Autonomía,https://www.bilbao.eus/camarastrafico/codec0030/snap_c1.jpg,,,Av. Ferrocarril/Autonomía,43.25761683790335,-2.946140867775675
3,Aita Donosti,https://www.bilbao.eus/camarastrafico/codec0003/snap_c1.jpg,,,Aita Donosti,43.25794263790335,-2.949912167775675
2,Sabino Arana/Av. Ferrocarril,https://www.bilbao.eus/camarastrafico/codec0002/snap_c1.jpg,,,Sabino Arana/Av. Ferrocarril,43.26054943790335,-2.946875667775675
69,Sabino Arana/Gral. Eguia,https://www.bilbao.eus/camarastrafico/codec0069/snap_c1.jpg,,,Sabino Arana/Gral. Eguia,43.25947583790335,-2.947270267775675
45,Circo Amateur/Carretera Galdakao,https://www.bilbao.eus/camarastrafico/codec0045/snap_c1.jpg,,,Circo Amateur/Carretera Galdakao,43.24820573790335,-2.906828167775675
46,Av. Miraflores/Carretera Galdakao,https://www.bilbao.eus/camarastrafico/codec0046/snap_c1.jpg,,,Av. Miraflores/Carretera Galdakao,43.24692503790335,-2.910418867775675
47,Av. Miraflores/Pintor Losada,https://www.bilbao.eus/camarastrafico/codec0047/snap_c1.jpg,,,Av. Miraflores/Pintor Losada,43.24674953790335,-2.912330267775675
64,Plza. Biribila,https://www.bilbao.eus/camarastrafico/codec0064/snap_c1.jpg,,,Plza. Biribila,43.26125943790335,-2.9275379677756748
52,Plza. Víctor Chávarri,https://www.bilbao.eus/camarastrafico/codec0052/snap_c1.jpg,,,Plza. Víctor Chávarri,43.26230323790335,-2.946296367775675
70,Santa Ana de Bolueta/Camino del Pontón,https://www.bilbao.eus/camarastrafico/codec0070/snap_c1.jpg,,,Santa Ana de Bolueta/Camino del Pontón,43.24664893790335,-2.908738867775675
82,Rtda. Leceaga,https://www.bilbao.eus/camarastrafico/codec0082/snap_c1.jpg,,,Rtda. Leceaga,43.26025313790335,-2.954629467775675
83,Avda.Montevideo/Gurtubay,https://www.bilbao.eus/camarastrafico/codec0083/snap_c1.jpg,,,Avda.Montevideo/Gurtubay,43.25899783790335,-2.9518174677756748
84,Pte. Cantalojas/San Francisco,https://www.bilbao.eus/camarastrafico/codec0084/snap_c1.jpg,,,Pte. Cantalojas/San Francisco,43.25705583790335,-2.9321414677756747
81,Avda.Montevideo/Cuesta de Olabeaga,https://www.bilbao.eus/camarastrafico/codec0081/snap_c1.jpg,,,Avda.Montevideo/Cuesta de Olabeaga,43.26075203790335,-2.954687767775675
104,Túnel Bernaola/Avda. de Enekuri,https://www.bilbao.eus/camarastrafico/codec0104/snap_c1.jpg,,,Túnel Bernaola/Avda. de Enekuri,43.27798583790335,-2.9551629677756748
100,Túnel Bernaola Exterior Entrada Lado Bilbao,https://www.bilbao.eus/camarastrafico/codec0100/snap_c1.jpg,,,Túnel Bernaola Exterior Entrada Lado Bilbao,43.26880603790335,-2.955219567775675
101,Túnel Bernaola Exterior Lado Asúa,https://www.bilbao.eus/camarastrafico/codec0101/snap_c1.jpg,,,Túnel Bernaola Exterior Lado Asúa,43.27438053790335,-2.954400567775675
102,Túnel Bernaola Exterior Salida Lado Bilbao,https://www.bilbao.eus/camarastrafico/codec0102/snap_c1.jpg,,,Túnel Bernaola Exterior Salida Lado Bilbao,43.26958093790335,-2.956166567775675
13,Pte. San Antón,https://www.bilbao.eus/camarastrafico/codec0013/snap_c1.jpg,,,Pte. San Antón,43.25542933790335,-2.922515467775675
107,107 Bernaola 3 Sentido Asúa,https://www.bilbao.eus/camarastrafico/codec0107/snap_c1.jpg,,,107 Bernaola 3 Sentido Asúa,43.27223973790335,-2.955763967775675
108,108 Bernaola 4 Sentido Asúa,https://www.bilbao.eus/camarastrafico/codec0108/snap_c1.jpg,,,108 Bernaola 4 Sentido Asúa,43.27294283790335,-2.955400767775675
111,111 Bernaola 7 Sentido Bilbao,https://www.bilbao.eus/camarastrafico/codec0111/snap_c1.jpg,,,111 Bernaola 7 Sentido Bilbao,43.27306563790335,-2.955728567775675
